ticker,date,open,high,low,close
RPL,2022-11-12,15.0478,15.0478,14.875,14.8836
RPL,2022-11-13,14.9009,15.9324,14.87,15.9324
RPL,2022-11-14,15.9108,17.6265,15.3343,16.5673
RPL,2022-11-15,15.7706,16.0308,15.7706,15.8835
RPL,2022-11-16,15.8994,16.35,15.7938,15.8091
RPL,2022-11-17,15.9248,15.9248,15.2085,15.2777
RPL,2022-11-18,15.3426,16.2441,15.1885,16.1322
RPL,2022-11-19,16.399,16.399,15.007,15.6631
RPL,2022-11-20,16.9614,16.9664,16.954,16.9543
RPL,2022-11-21,16.6186,16.9647,13.9441,16.9559
RPL,2022-11-22,16.9524,16.9679,16.9524,16.9679
RPL,2022-11-23,16.9557,16.9679,16.9557,16.9635
RPL,2022-11-24,16.1608,16.2149,16.0743,16.0743
RPL,2022-11-25,15.99,16.0913,15.9605,15.994
RPL,2022-11-26,16.5179,17.1089,16.5179,17.1089
RPL,2022-11-27,17.0854,17.282,17.0854,17.2368
RPL,2022-11-28,17.3749,17.3749,16.9064,16.9064
RPL,2022-11-29,16.9522,17.0148,16.807,16.843
RPL,2022-11-30,18.5454,18.5454,17.8372,17.9662
RPL,2022-12-01,17.8786,17.9627,17.6831,17.9093
RPL,2022-12-02,18.9899,19.3556,18.9899,19.33
RPL,2022-12-03,19.9237,20.7597,19.7835,20.6525
RPL,2022-12-04,20.3981,20.4601,20.1732,20.1732
RPL,2022-12-05,20.3379,20.4722,20.1765,20.2088
RPL,2022-12-06,19.9843,19.9843,19.7316,19.7402
RPL,2022-12-07,19.9993,19.9993,19.6938,19.8886
RPL,2022-12-08,19.6192,20.6704,19.3545,19.3545
RPL,2022-12-09,20.3216,20.3875,19.3978,19.4538
RPL,2022-12-10,19.5612,19.5612,19.2824,19.4804
RPL,2022-12-11,19.7968,20.7187,19.6308,20.7187
RPL,2022-12-12,20.0068,20.0068,19.2271,19.2798
RPL,2022-12-13,20.5258,23.4989,20.2842,20.6955
RPL,2022-12-14,21.3784,21.3784,20.7473,20.7473
RPL,2022-12-15,20.9658,21.283,20.9658,21.1245
RPL,2022-12-16,21.0949,21.0949,19.4153,19.4153
RPL,2022-12-17,19.6164,19.6164,18.4775,18.7364
RPL,2022-12-18,18.4312,18.6014,18.4312,18.5889
RPL,2022-12-19,18.6736,18.6736,18.396,18.4665
RPL,2022-12-20,18.4646,18.7572,18.4641,18.6862
RPL,2022-12-21,18.715,18.8361,18.6662,18.7379
RPL,2022-12-22,19.114,19.114,18.9792,18.9799
RPL,2022-12-23,19.1188,19.56,18.9806,19.56
RPL,2022-12-24,19.9406,20.374,19.6699,20.374
RPL,2022-12-25,20.2294,20.356,20.0815,20.2705
RPL,2022-12-26,19.9273,19.9541,19.8637,19.9541
RPL,2022-12-27,19.5401,19.7749,19.5401,19.7631
RPL,2022-12-28,19.7295,20.1832,19.7295,20.1832
RPL,2022-12-29,20.1571,20.1628,19.5178,19.7181
RPL,2022-12-30,19.7288,19.7288,19.4168,19.4253
RPL,2022-12-31,19.3935,20.4664,19.3935,19.8915
RPL,2023-01-01,20.146,20.4455,19.641,19.641
RPL,2023-01-02,20.2271,21.8372,20.2271,21.6244
RPL,2023-01-03,21.8174,21.8387,21.5272,21.6202
RPL,2023-01-04,21.9189,23.2883,21.7686,22.4065
RPL,2023-01-05,22.8581,23.0508,22.368,22.368
RPL,2023-01-06,22.6089,22.6712,22.1981,22.6121
RPL,2023-01-07,22.4804,22.5916,22.3427,22.498
RPL,2023-01-08,22.828,23.9403,22.7574,23.9403
RPL,2023-01-09,24.0796,27.0346,14.3196,24.6158
RPL,2023-01-10,25.17,26.4062,24.5702,26.2287
RPL,2023-01-11,25.2042,26.4041,24.3281,24.9221
RPL,2023-01-12,24.9154,29.4223,24.914,28.9756
RPL,2023-01-13,28.9788,29.4852,27.0817,27.2171
RPL,2023-01-14,31.4573,34.7584,29.4881,32.9732
RPL,2023-01-15,32.9626,34.3542,30.72,32.0093
RPL,2023-01-16,32.4606,34.693,30.9007,33.1271
RPL,2023-01-17,33.1177,33.6374,31.0002,32.4799
RPL,2023-01-18,32.4765,45.2041,29.4973,30.8682
RPL,2023-01-19,30.9284,34.4665,30.6172,32.3087
RPL,2023-01-20,32.3419,38.0072,32.1323,37.6268
RPL,2023-01-21,37.6468,38.0714,35.6986,36.0658
RPL,2023-01-22,36.1454,36.3465,34.0161,34.2569
RPL,2023-01-23,34.2569,37.4034,34.1882,36.5755
RPL,2023-01-24,36.6151,42.3163,36.5648,37.6211
RPL,2023-01-25,37.5807,39.5259,35.2839,38.0261
RPL,2023-01-26,38.1569,41.137,37.958,39.1943
RPL,2023-01-27,39.0931,39.6656,37.583,39.2669
RPL,2023-01-28,39.2634,40.4501,37.8694,38.0704
RPL,2023-01-29,38.201,42.1468,37.539,39.9359
RPL,2023-01-30,39.9656,40.4841,36.7669,37.4854
RPL,2023-01-31,37.4989,38.8842,37.4493,38.4272
RPL,2023-02-01,38.3751,39.9074,36.6681,39.7661
RPL,2023-02-02,39.7695,43.655,39.7307,41.6183
RPL,2023-02-03,41.5687,42.9177,40.3028,40.6032
RPL,2023-02-04,40.8431,42.2723,39.8038,40.7866
RPL,2023-02-05,40.8386,41.29,38.5137,38.6409
RPL,2023-02-06,38.5967,43.6909,38.5141,41.6113
RPL,2023-02-07,41.6017,44.1965,40.4028,42.523
RPL,2023-02-08,42.5225,43.8239,39.7548,40.4828
RPL,2023-02-09,40.7924,52.2936,40.7724,47.1747
RPL,2023-02-10,47.4948,55.3122,44.5876,45.2068
RPL,2023-02-11,45.2172,47.0956,43.7939,46.0241
RPL,2023-02-12,45.9741,48.4558,44.0566,47.3647
RPL,2023-02-13,47.3547,47.4347,38.8786,41.0826
RPL,2023-02-14,41.2127,43.7201,40.5392,42.7362
RPL,2023-02-15,42.7818,48.2872,42.3157,46.8184
